taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2527593	Panellus serotinus (Pers.) Kühner	2527596	Hohenbuehelia serotina (Pers.) Singer	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Pleurotaceae	4183	Hohenbuehelia	2526255	Hohenbuehelia serotina	2527596	
2538774	Hygrophorus lucorum Kalchbr.	2538774	Hygrophorus lucorum Kalchbr.	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Hygrophoraceae	4176	Hygrophorus	2525706	Hygrophorus lucorum	2538774	
5243429	Agaricus augustus Fr.	5243429	Agaricus augustus Fr.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Agaricaceae	4170	Agaricus	2518646	Agaricus augustus	5243429	
2524236	Rhizopogon rubescens (Tul. & C.Tul.) Tul. & C.Tul.	2524228	Rhizopogon roseolus (Corda) Th.Fr.	4	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Rhizopogonaceae	8452	Rhizopogon	2524218	Rhizopogon roseolus	2524228	
9109424	Pholiota spumosa (Fr.) Singer	9109424	Pholiota spumosa (Fr.) Singer	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Strophariaceae	4186	Pholiota	2528397	Pholiota spumosa	9109424	
2528107	Inocybe fastigiata (Schaeff.) Quél.	10846389	Pseudosperma rimosum (Bull.) Matheny & Esteve-Rav.	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Inocybaceae	4177	Pseudosperma	10754240	Pseudosperma rimosum	10846389	
2533721	Gymnopilus liquiritiae (Pers.) P.Karst.	2533721	Gymnopilus liquiritiae (Pers.) P.Karst.	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Hymenogastraceae	3309302	Gymnopilus	2527854	Gymnopilus liquiritiae	2533721	
5248610	Lactarius chrysorrheus Fr.	5248610	Lactarius chrysorrheus Fr.	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Russulaceae	7609	Lactarius	2532156	Lactarius chrysorrheus	5248610	
6016491	Boletus pseudocalopus Hongo	8275389	Baorangia pseudocalopus (Hongo) G.Wu & Zhu L.Yang	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Baorangia	7934296	Baorangia pseudocalopus	8275389	
5243447	Agaricus bisporus (J.E.Lange) Imbach	5243447	Agaricus bisporus (J.E.Lange) Imbach	4	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Agaricaceae	4170	Agaricus	2518646	Agaricus bisporus	5243447	
